name	officenumber	dir
Chest Pain ER 	3-1416	
Chick Fil-A 	352-392-1021	
Chief Executive Officer - Fax 	265-0177	
Chief Executive Officer 	265-8929	it
Chief Of Anesthesia 413-8020 	265-0486	nicu
Chief of Staff - Fax 	265-0627	nicu
Chief of Staff 	265-0301	
Chief Resident Housestaff 	265-0239	
CHILDRCSC - Ayers 	733-0065	
Children's Development Services - Fax 	334-0244	
Children's Development Services 	334-0228	
Children's Medical Services (CMS) - Admin D3 - Tollfree 	(800) 523-7545	
Children's Medical Services (CMS) - Admin for District 3 	334-1400	
Children's Medical Services (CMS) - inhouse 	265-0459	
Children's Medical Services - Fax 	334-1476	
Children's Miracle Network 	265-7953	
Children's Surgical Center Ayers -UF HEALTH 	352-733-0065	
Children`s Cancers Pediattric Oncology Center 	(352) 392-5633	
Children`s Cancers 	273-9120	
Children`s welcome desk - 1st flr 	4-2803	
Children`s Welcome Desk 1st Flr 	4-2802	
CHILDR - Pediatric Surgery Center at Ayers 	733-0065	
Child Abuse (HRS) 	800-342-9152	
Child Abuse 	265-5481	
Child Birth Classes @ Shands UF - 2nd line 	265-0035	
Child Birth Classes @ Shands UF 	265-0317	
Child Life Office - 13:00 - 16:00 (playroom) 	4-4057	
Child Life Office - Unit 45 	4-6470	
Child Life Office - 09:00 - 12:00 (playroom) 	4-5285	
Child Protection Team - Fax 	334-1521	
Child Protection Team 	334-1300	it
Child Psychiatric Hospitalization 	265-5481	nicu
Child Psychiatry-Outpatient Return Appts Med Plaza (HELP) 	265-4357	nicu
Child Psychiatry - Inpatient/Vista 	265-5497	
Chip Program - Child Health Insurance Program (Kidcare) 	888-540-5437	
CHIRCOP,KIMBERLY Mrs. EXT:85699 HC DEPT:3522658017 		
Choices 	264-6772	
Cholesterol Study (ext - 5806) 	376-1611	
CHRISTMAS,JENIKA Ms. EXT:45548 HC DEPT:3522650651 		
CHRIS - Passwords 	265-0059	
Chronic Pain (HELP) 	265-4357	
CICU - Pod 1 (Rm 2518 - Ring for Drs only) 	5-0428	
CICU - Pod 2 (Rm 2524 - Ring for Drs only) 	5-0442	
CICU - Pod 3 (Rm 2531 - Ring for Drs only) 	5-0173	
CICU - Pod 3 	5-0491	
CICU - Pod 4 (Rm 2543 - Ring for Drs only) 	5-0251	
CICU - Pod 5 (Rm 2549 - Ring for Drs only) 	5-0252	
CICU 	352-265-0025	
Civitan Blood Bank 	334-1000	
Classes & Course ( HRD) 	5-7580	
Classroom Scheduling (teaching labs) 	392-2733	
Climacteric Medicine Center 	372-5600	
Clinical & Community Dietetics 	4-6878	
Clinical & Health Psychology - Clinic 	265-0294	
Clinical & Health Psychology - Fax 	265-0096	
Clinical & Health Psychology Dept 	(352) 273-6617	
Clinical and Health Psychology 	(352) 273-6617	
Clinical Care Supv. all non -ICU areas 	413-0185	it
Clinical Engineering - Fax 	265-0209	nicu
Clinical Engineering Bldg P04 	733-0908	nicu
Clinical Engineering FAX Rm G306 Bldg P04 	733-1347	
Clinical Engineering OR/ICU Bldg 2027 Bldg P04 	392-9006	
Clinical Engineering 	265-0089	
Clinical Lab - Fax 	265-0328	
Clinical Lab 	265-0412	
Clinical Microbiology 	265-0165	
Clinical Pathology - Billing 	265-0172	
Clinical Pathology 	627-9268	
Clinical Psychology Clinic - Fax 	265-0096	
Clinical Psychology Clinic 	265-0294	
Clinical Psychology Dept 	(352) 273-6617	
Clinical Research Center (CRC)@ 2004 MOWRY ROAD 	294-5900	
Clinical Research 	294-5900	
Clinical Resource Management - Fax 	733-3174	
Clinical Resource Management 	265-0374	
Clinical Translational Aging Research 	294-5900	
Clinical Translational Research Building 	294-5900	
Clinical Translational Scientific Institute 	294-5900	
CliniCare Transport Service - for info 	265-8000	
Clinic Administration 	265-8058	
Clinic Information 	5-INFO	
CMS ( Fax ) 	334-1476	
CMS - Administration/Case Workers (No Appoinments) 	334-1400	
CMS - Case Worker 	334-0206	
CMS - Clinic ( Appointments only ) 	334-0206	it
CMS inhouse 	352-265-0459	nicu
Cocaine use disorder 	265-4372	nicu
Cochler Implants ( ENT ) 	265-8989	
Coding 	4-4815	
Cognitive Behavior Therapy (HELP) 	265-4357	
Collections - Univ Physicians Accounting Dept 	392-3341	
Collections Attorney - Fax 	265-9002	
Collections Attorney 	265-9005	
Collections 	265-0355	
Collection - Cashier - Fax 	265-0269	
Collection - Cashier 	4-4500	
Collection - Fax 	265-0718	
College of Health Related Professions - Accountant I 	(352) 273-6192	
College of Health Related Professions - Dean Ofc 	(352) 273-6631	
College of Health Related Professions - Staff Asst 	(352) 273-6631	
College of Medicine Admissions 	273-7990	
College of Medicine Fringe Benefits 	273-5077	
College of Med - Alumni Affair Development 	273-7986	
College of Med - Assoc Dean for Curriculum 	392-0034	
College of Med - Asst Dean for Pre-Prof Education 	273-8575	
College of Med - Asst Dean JHEP 	904-350-6899	
College of Med - Asst Dir Admin Service 	392-5640	
College of Med - Asst Registrar 	273-7971	
College of Med - Dean Ofc - Compliance 	265-8359	
College of Med - Dean Ofc - Wayne Tharp 	265-8017	
College of Med - Dean Ofc Fiscal - Accountant I 	392-3142	
College of Med - Dean Ofc Fiscal - Asst Dir Fin Affairs 	392-3142	it
College of Med - Dean Ofc 	273-7520	nicu
College of Med - Dir Admin Services 	392-5793	nicu
College of Med - Financial Aid 	273-7939	
College of Med - Staff Asst II 	392-4176	
College of Med - Student & Alumni Affairs (not residents) 	273-7971	
College Of Nursing - Accountant - Fax 	392-8100	
College Of Nursing - Accountant 	392-3517	
College of Nursing - Admissions - Fax 	392-8100	
College of Nursing - Admissions 	273-6400	
College of Nursing - Assoc Dean 	392-3521	
College Of Nursing - Asst. to Dean - Fax 	392-8100	
College Of Nursing - Asst. to Dean 	392-3517	
College of Nursing - Asst Dean Grad Program - Fax 	392-8100	
College of Nursing - Curriculum & Instructions Coord - Fax 	392-8100	
College of Nursing - Curriculum & Instructions Coord 	392-3524	
College of Nursing - Dean's Office - Fax 	392-8100	
College of Nursing - Dean's Office 	273-6001	
College of Nursing - Jr & Sr Year Prof Dir 	392-4366	
College of Nursing - Midwifery Program 	392-3704	
College of Nursing - Research Coord - Fax 	392-3935	
College of Nursing - Research Coord 	392-4367	
College of Nursing - Research Support 	392-3754	
College of Nursing - RN & BSN Prog Dir 	392-3512	
College of Nursing 	273-6001	
College of Pharmacy - Office of Clinical Affairs 	273-6611	
COLLI DULA,REYNA EXT:5563 HC DEPT:3523922243 		
Colonoscopy 	265-0048	it
Colon Cancer (Peds Hem/Onc) 	273-9120	nicu
Colon GI (Gastro-Intestnal) 	273-9400	nicu
Command Post 	265-0012	
Commuications Health Science (phone problems) 	273-1234	
Communications, Shands - Fax 	265-0209	
Communications, Shands 	265-0220	
Communications Center - Break Room 	8-9291	
Communications Center - Computer Room 	8-8281	
Communications UF Health - (NOT telecommunications) 	265-0373	
Communicative Disorders: Speech (Weekend pager) 	413-0624	
Communicative Disorders - Fax 	392-6529	
Communicative Disorders 	273-5289	
Communicore Lecture Hall (Reservation) 	273-5064	
Community Health&Family Med - Medical Education - Fax 	392-7349	
Community Health & Family Medicine - Fax 	273-5213	
Community Health & Family Medicine - Medical Education 	273-5161	
Community Health & Family Medicine 	273-5138	
Community Reading Room - Fax 	(352) 265-0921	
Community Reading Room - Radiology 	(352) 265-0637	
Community Relations - Fax 	265-7954	
Community Relations 	265-7953	
Comm break room 	8-9291	
Compensation/Salary Info - Fax 	265-7947	
Compensation/Salary Info 	5-7716	
Complaints -Outpatient Clinics (Clinic Admin) 	265-8058	
Complaints - Billing 	352-594-4134	
Complaints - INPATIENTS (not for outpatient clinics) 	265-0123	it
COMPLAINTS - USE ABOVE DO NOT SEND TO ADMINISTRATIVE #'S 		nicu
Compliance -Hipaa for Auditors, etc. 	627-9050	nicu
Compliance Hot-Line confidential & anonymous 	888-329-3569	
Compulsions (HELP) 	265-4357	
Computer Sciences 	392-3608	
Computer Services (UF) 	392-4357	
Computer Services - Information Technology (IT) Help Desk 	265-0526	
Computer Services - Main Number 	594-1000	
Concierge/Information Desk Main Bldg P04-Fax 	733-0317	
Concierges - Gator Med (fax) 	352-265-8262	
Concierges - Gator Med 	352-265-4287	
Concierge / Information Desk Main Bldg P04 	733-0914	
Conduct Disorder (HELP) 	265-4357	
Conference Bridge Scheduling Mon-Fri 	265-0440	
Conference Rooms Medical Plaza 2nd & 4th flr 	265-8548	
Conference Room (MSB - 2nd floor) 	392-3157	
Conference Room - Reserve a room P04 	733-0880	
Conference room Medical Plaza 3rd flr only 	5-8280	
Conference Room Reserve ( Ayers ) 	733-0881	
Congenital Heart Center 	273-7770	
Congential Heart Center ( Peds Cardiolgy ) 	(352) 273-7770	
Consolidated Computer Inc 	392-3701	
Construction Trailer 	265-5370	
Continuing Medical Education - Assoc. Dean & Medical Dir. 	392-3085	
Continuing Medical Education - Fax 	392-7337	
Continuing Medical Education - Program Coordinator 	265-8081	
Continuity Care (Resident's Clinic) 	334-0206	it
Controller 	265-7962	nicu
Copy Center 	273-5350	nicu
Core Lab (Phlebotomy) FAX Rm G016 Bldg P04 	733-1348	
Core Lab (Phlebotomy) Main Bldg P04 	733-0903	
Core Lab - Rocky Point 	265-9961	
Core Lab - UF 	265-0412	
Core Trak 	225-6303	
Corporate Compliance Department - fax 	265-6982	
Corporate Compliance 	627-9050	
Corporate Counsel VP - Fax 	265-0512	
Corporate Counsel VP 	265-6995	
CORTRAK PLACEMENT TEAM 	(352) 225-6303	
Cosmetic Surgery @ Hampton Oaks 	265-9480	
Cost Effectiveness Program 	5-7447	
Cost of procedure - Inpatient Only 	265-0477	
Coumadin Clinic @ Cardiovascular 	265-0457	
Courier Service 	265-0522	
COYLE,EMILY EXT:0 HC DEPT:3522650855 		
CPR Classes - Basic Life Support 	265-0185	
CPR Classes 	265-0078	
CRAIG,RICHARD EXT:72036 HC DEPT:3522650680 		
Cranial Facial Clinic 	627-9326	
Craniofacial Center 	800-726-2029	
Cranio Facial-Fax 	294-8096	
Cranio Facial-Referrals 	627-9326	
CRC - Clinical Research @ 2004 MOWRY ROAD 	294-5900	
Credentialing & Medical Staff Services - Fax 	265-0627	it
Credentialing & Medical Staff Services 	265-0301	nicu
Credit & Collections 	265-0355	nicu
Credit Union (In-house) 	4-5052	
Credit Union ( Inhouse ) 	4-5251	
Credit Union - Health Center Branch Loans (ext 1423) 	335-9090	
Credit Union - Health Center Branch Manager (ext 1421) 	335-9090	
Credit Union - Health Center Branch Teller (ext 1422) 	335-9090	
Credit Union 	335-9090	
Cremation Adult,child, baby- Funeral Home they chose 		
Cremation Fetal deaths inhouse only not babies 	4-6539	
Crest Med Center (Perry) 	904-584-0851	
CRIBBS,BARBARA Ms. EXT:47301 HC DEPT:3523921161 		
Criser Cancer Resources Center Rm 1302.2 Bldg P04 	733-0881	
Crisis Center (Alachua County) 	264-6789	
Critical Care Medicine (Anes) - Peds - Administration 	265-0462	
Critical Care Medicine (Anesthesia) 	265-0463	
Critical Care Medicine Peds Fax 	265-1012	
Crothall Clinical Equipment Services 	265-0673	
Crowne Point - Moved to Magnolia Parke 	265-5230	
CRS (Const Mgmt Corp) 	265-0485	
Crysto Clinic - Fax 	392-3918	
Crysto Clinic 	392-3561	
CSO - Central Staffing (Administration only) 	265-0188	
CSO - Central Staffing (North & South Campus) 	733-0904	
CSO - Central Staffing (Nurse calls) 	265-0216	
CSO - Central Staffing FAX Rm. G152.1 Bldg P04 	733-1344	
CSS Main Bldg P04 	733-0935	it
CTRB - Clinical Translational Research Building 	294-5900	nicu
CTSI - Clinical Translational Scientific Institute 	294-5900	nicu
CT & Ultrasound Check-In 	4-4353	
CT Scan - Outpt & Inpt. - located in North Tower SUF 	4-6068	
CT Scan - Radiology scheduling (7AM-6PM) 	265-0104	
CT Scan After Hrs/Weekends In House calls 	4-4385	
CT Scan Room Bldg P04 	733-0895	
Cubicle Area - 3rd & 4th yr student 	392-3138	
Cutro Ray Med 	(352) 265-0239	
CVS Pharmacy ( Archer Rd ) 	373-2507	
Cystic Fibrosis - Pediatrics 	273-8380	
Cystoscopy - Fax 	265-1837	
Cystoscopy - Information 	4-3855	
Cystoscopy Suite 	4-3855	
Cytogenetics Lab at UF 	7-2009	
Cytology Lab - Rocky Point 	7-2119	
Cytology Main Bldg P04 	733-0902	
C T Scan 	4-6068	
Data Processing - HIS 	392-2648	
Data Processing 	594-1000	
DAVIS,BOBBIE MS. EXT:4608 HC DEPT:3523924700 		
DCF (Abuse hotline) 	800-962-2873	
DCI Unit ( Dialysis 39th ) 	337-6021	
Death Certificates - HRS Alachua County (COPIES ONLY) 	334-7900	
Decals 	392-7275	
Decision Support Services 	733-3180	
DECKER,ALICIA EXT:159 HC DEPT:4078842034 		it
Decontamination 	265-0277	nicu
Deep Brain Stimulation (DBS) (HELP) 	265-4357	nicu
Delusions 	265-5481	
Dementia (HELP) 	265-4357	
Dementia (Neurology) 	265-8408	
Dementia 	265-5481	
Denistry , Oral Surgery Financial Dept. 	273-6725	
Dental Clinic - Admin general questions about treatment 	352-273-6820	
Dental Clinic - Admin if specific clinic/issue is unknown	352-273-6820	
Dental Clinic - Business Office - Patient Accounting 	352-273-5380	
Dental Clinic - Cashier 	352-273-5385	
Dental Clinic - Center for Implant Dentistry 	352-273-6715	
Dental Clinic - Dental Stores - Henry Schein Stores 	352-378-5750	
Dental Clinic - Dentures/partials/bridges/crowns/implants	352-273-6910	
Dental Clinic - Endodontics - Root Canals 	352-273-5430	
Dental Clinic - Endodontic Res 1st Afterhour Emergency 	352-413-6115	
Dental Clinic - Endodontic Res 2nd Afterhour Emergency 	352-413-2399	
Dental Clinic - Facial Pain Center 	352-273-7619	
Dental Clinic - Faculty Practice - Fax 	352-392-4070	
Dental Clinic - Faculty Practice 	352-273-7950	
Dental Clinic - Graduate / Resident Periodontics 	352-273-7846	
Dental Clinic - Graduate / Resident Prosthodontics 	352-273-6910	
Dental Clinic - Hialeah Dental Center 	305-694-5400	
Dental Clinic - Main line - Phone tree 	352-273-6700	
Dental Clinic - Naples Pediatric Dental Center (NCEF) FAX	239-775-7035	
Dental Clinic - Naples Pediatric Dental Center (NCEF) 	239-775-3052	
Dental Clinic - Operator Back up line 	352-273-6810	it
Dental Clinic - Operator 	352-273-6701	nicu
Dental Clinic - Oral & Maxillofacial Surgery - Fax 	352-294-8064	nicu
Dental Clinic - Oral & Maxillofacial Surgery 	352-273-6731	
Dental Clinic - Oral & Maxillofacial Surg - Referrals Fax	352-392-6909	
Dental Clinic - Oral Medicine/Oncology -soft tissue issue	352-273-6740	
Dental Clinic - Oral Medicine/Oncology - due to illness 	352-273-6740	
Dental Clinic - Oral Medicine / Oral Oncology 	352-273-6740	
Dental Clinic - Oral Surgery cases by referral 	352-273-6731	
Dental Clinic - Orthodontics - Faculty Practice - Braces 	352-273-7960	
Dental Clinic - Orthodontics - Faculty Practice - TMJ 	352-273-7960	
Dental Clinic - Orthodontics - Students - Braces 	352-273-5651	
Dental Clinic - Orthodontics 24/7 pager number 	352-252-0331	
Dental Clinic - Orthodontics Faculty Practice Facial Pain	352-273-7960	
Dental Clinic - Patient Advocate - Patient Complaints 	352-273-6825	
Dental Clinic - Patient Records - request copy of records	352-273-6812	

